farm_number,latitude,longitude
1,-1.50944,37.565361
2,-1.549573,37.552001
3,-1.514019,37.5764
4,-1.514128,37.574717
5,-1.509701,37.583164
6,-1.545422,37.568533
7,-1.550883,37.567908
8,-1.55681,37.563683
9,-1.558799,37.558752
10,-1.555349,37.564326
11,-1.55799,37.55915
12,-1.556989,37.55982
13,-1.557109,37.561638
14,-1.550878,37.555089
15,-1.549573,37.552001
16,-1.545154,37.557597
17,-1.543242,37.558572
18,-1.533583,37.562512
19,-1.531774,37.562511
20,-1.520698,37.576862
21,-1.519132,37.578588
22,-1.524169,37.573584
23,-1.531389,37.576779
24,-1.532881,37.576556
25,-1.532379,37.576032
26,-1.525838,37.587542
27,-1.52727,37.587242
28,-1.524315,37.584509
29,-1.520783,37.58066
30,-1.518814,37.581648
31,-1.51816,37.583811
32,-1.519252,37.585421
33,-1.518592,37.586541
34,-1.517772,37.585336
35,-1.533165,37.577466
36,-1.521497,37.582262
37,-1.521001,37.583994
38,-1.522649,37.586318
39,-1.521238,37.585484
40,-1.523897,37.587995
41,-1.522651,37.586315
42,-1.522321,37.585345
43,-1.257723,36.784977
44,-1.556855,37.56427
45,-1.245137,36.872524
46,-1.274541,36.840595
47,-1.270766,36.883167
48,-1.265731,36.873554
49,-1.267104,36.908573
50,-1.281292,36.859135
51,-1.561287,37.070069
52,-1.271681,36.910976
